iter,t_s,metal_active_gb,metal_peak_gb,rss_gb,phys_footprint_gb,swap_gb,body_dt_s
0,0.0139,0.06763528,0.067635296,0.330235904,0.428131216,1.061486592,0.0139
1,0.0147,0.017303568,0.067635296,0.330235904,0.428131216,1.061486592,0.0002
2,0.015,0.017303568,0.067635296,0.330235904,0.428131216,1.061486592,0.0002
3,0.0154,0.017303568,0.067635296,0.330235904,0.428131216,1.061486592,0.0002
4,0.0156,0.017303568,0.067635296,0.330235904,0.428131216,1.061486592,0.0002
5,0.0159,0.017303568,0.067635296,0.330235904,0.428131216,1.061486592,0.0002
6,0.0162,0.017303568,0.067635296,0.330252288,0.4281476,1.061486592,0.0002
7,0.0165,0.017303568,0.067635296,0.330252288,0.4281476,1.061486592,0.0002
8,0.0167,0.017303568,0.067635296,0.330252288,0.4281476,1.061486592,0.0002
9,0.017,0.017303568,0.067635296,0.330252288,0.4281476,1.061486592,0.0002
10,0.0173,0.017303568,0.067635296,0.330252288,0.4281476,1.061486592,0.0002
11,0.0175,0.017303568,0.067635296,0.330252288,0.428163984,1.061486592,0.0002
12,0.0178,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
13,0.0181,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
14,0.0183,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
15,0.0186,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
16,0.0188,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
17,0.0191,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
18,0.0194,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
19,0.0196,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
20,0.0199,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
21,0.0201,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
22,0.0204,0.017303568,0.067635296,0.330268672,0.428163984,1.061486592,0.0002
